UNDERLYING,Symbol,lot size,Sector,,,
360 ONE WAM LIMITED                 ,360ONE,500,Financial Services,,,
ABB INDIA LIMITED                   ,ABB,125,Capital Goods,,,
ADITYA BIRLA CAPITAL LTD.           ,ABCAPITAL,3100,Financial Services,,,
ADANI ENERGY SOLUTION LTD           ,ADANIENSOL,675,Power,,,
ADANI ENTERPRISES LIMITED           ,ADANIENT,309,Metals & Mining,,,
ADANI GREEN ENERGY LTD              ,ADANIGREEN,600,Power,,,
ADANI PORT & SEZ LTD                ,ADANIPORTS,475,Services,,,
ADANI POWER LTD                     ,ADANIPOWER,3550,Power,,,
ALKEM LABORATORIES LTD.             ,ALKEM,125,Healthcare,,,
AMBER ENTERPRISES (I) LTD           ,AMBER,100,Consumer Durables,,,
AMBUJA CEMENTS LTD                  ,AMBUJACEM,1200,Construction Materials,,,
ANGEL ONE LIMITED                   ,ANGELONE,2500,Financial Services,,,
APL APOLLO TUBES LTD                ,APLAPOLLO,350,Capital Goods,,,
APOLLO HOSPITALS ENTER. L           ,APOLLOHOSP,125,Healthcare,,,
ASHOK LEYLAND LTD                   ,ASHOKLEY,5000,Capital Goods,,,
ASIAN PAINTS LIMITED                ,ASIANPAINT,250,Consumer Durables,,,
ASTRAL LIMITED                      ,ASTRAL,425,Capital Goods,,,
AU SMALL FINANCE BANK LTD           ,AUBANK,1000,Financial Services,,,
AUROBINDO PHARMA LTD                ,AUROPHARMA,550,Healthcare,,,
AXIS BANK LIMITED                   ,AXISBANK,625,Financial Services,,,
BAJAJ AUTO LIMITED                  ,BAJAJ-AUTO,75,Automobile and Auto Components,,,
BAJAJ FINSERV LTD.                  ,BAJAJFINSV,300,Financial Services,,,
BAJAJ HOLDINGS & INVS LTD           ,BAJAJHLDNG,75,Financial Services,,,
BAJAJ FINANCE LIMITED               ,BAJFINANCE,750,Financial Services,,,
BANDHAN BANK LIMITED                ,BANDHANBNK,3600,Financial Services,,,
BANK OF BARODA                      ,BANKBARODA,2925,Financial Services,,,
BANK OF INDIA                       ,BANKINDIA,5200,Financial Services,,,
BHARAT DYNAMICS LIMITED             ,BDL,425,Capital Goods,,,
BHARAT ELECTRONICS LTD              ,BEL,1425,Capital Goods,,,
BHARAT FORGE LTD                    ,BHARATFORG,500,Automobile and Auto Components,,,
BHARTI AIRTEL LIMITED               ,BHARTIARTL,475,Telecommunication,,,
BHEL                                ,BHEL,2625,Capital Goods,,,
BIOCON LIMITED.                     ,BIOCON,2500,Healthcare,,,
BLUE STAR LIMITED                   ,BLUESTARCO,325,Consumer Durables,,,
BOSCH LIMITED                       ,BOSCHLTD,25,Automobile and Auto Components,,,
BHARAT PETROLEUM CORP  LT           ,BPCL,1975,Oil Gas & Consumable Fuels,,,
BRITANNIA INDUSTRIES LTD            ,BRITANNIA,125,Fast Moving Consumer Goods,,,
BSE LIMITED                         ,BSE,200,Financial Services,,,
COMPUTER AGE MNGT SER LTD           ,CAMS,825,Financial Services,,,
CANARA BANK                         ,CANBK,6750,Financial Services,,,
CENTRAL DEPO SER (I) LTD            ,CDSL,475,Financial Services,,,
CG POWER AND IND SOL LTD            ,CGPOWER,850,Capital Goods,,,
CHOLAMANDALAM IN & FIN CO           ,CHOLAFIN,625,Financial Services,,,
CIPLA LTD                           ,CIPLA,425,Healthcare,,,
COAL INDIA LTD                      ,COALINDIA,1350,Oil Gas & Consumable Fuels,,,
COCHIN SHIPYARD LIMITED             ,COCHINSHIP,400,Capital Goods,,,
COFORGE LIMITED                     ,COFORGE,475,Information Technology,,,
COLGATE PALMOLIVE LTD.              ,COLPAL,275,Fast Moving Consumer Goods,,,
CONTAINER CORP OF IND LTD           ,CONCOR,1250,Services,,,
CROMPT GREA CON ELEC LTD            ,CROMPTON,2150,Consumer Durables,,,
CUMMINS INDIA LTD                   ,CUMMINSIND,200,Capital Goods,,,
DABUR INDIA LTD                     ,DABUR,1250,Fast Moving Consumer Goods,,,
DALMIA BHARAT LIMITED               ,DALBHARAT,325,Construction Materials,,,
DELHIVERY LIMITED                   ,DELHIVERY,2075,Services,,,
DIVI S LABORATORIES LTD             ,DIVISLAB,100,Healthcare,,,
DIXON TECHNO (INDIA) LTD            ,DIXON,50,Consumer Durables,,,
DLF LIMITED                         ,DLF,950,Realty,,,
AVENUE SUPERMARTS LIMITED           ,DMART,150,Consumer Services,,,
DR. REDDY S LABORATORIES            ,DRREDDY,625,Healthcare,,,
EICHER MOTORS LTD                   ,EICHERMOT,100,Automobile and Auto Components,,,
ETERNAL LIMITED                     ,ETERNAL,2425,Consumer Services,,,
EXIDE INDUSTRIES LTD                ,EXIDEIND,1800,Automobile and Auto Components,,,
FEDERAL BANK LTD                    ,FEDERALBNK,2500,Financial Services,,,
FORCE MOTORS LIMITED                ,FORCEMOT,25,Automobile and Auto Components,,,
FORTIS HEALTHCARE LTD               ,FORTIS,775,Healthcare,,,
GAIL (INDIA) LTD                    ,GAIL,3550,Oil Gas & Consumable Fuels,,,
GLENMARK PHARMACEUTICALS            ,GLENMARK,375,Healthcare,,,
GMR AIRPORTS LIMITED                ,GMRAIRPORT,6975,Services,,,
GODFREY PHILLIPS INDIA LT           ,GODFRYPHLP,275,Fast Moving Consumer Goods,,,
GODREJ CONSUMER PRODUCTS            ,GODREJCP,500,Fast Moving Consumer Goods,,,
GODREJ PROPERTIES LTD               ,GODREJPROP,325,Realty,,,
GRASIM INDUSTRIES LTD               ,GRASIM,250,Construction Materials,,,
GE VERNOVA T&D INDIA LTD            ,GVT&D,125,Capital Goods,,,
